Folder,EdsFile,CIP Vendor,CIP Product Type,CIP Product Code,Revision,ProdType,ProdTypeStr,DescText,MajRev,MinRev,Catalog
DeviceNet,00010095B9090100.eds,0001,149,47369,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B024...
DeviceNet,00010095B9090200.eds,0001,149,47369,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B024...
DeviceNet,00010095B9090300.eds,0001,149,47369,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B024...
DeviceNet,00010095B9090400.eds,0001,149,47369,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B024...
DeviceNet,00010095B9090500.eds,0001,149,47369,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B024...
DeviceNet,0001007EBA090400.eds,0001,126,47625,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B032...
DeviceNet,0001007EBA090500.eds,0001,126,47625,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B032...
DeviceNet,00010095BA090100.eds,0001,149,47625,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B032...
DeviceNet,00010095BA090200.eds,0001,149,47625,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B032...
DeviceNet,00010095BA090300.eds,0001,149,47625,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B032...
DeviceNet,00010095BA090400.eds,0001,149,47625,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B032...
DeviceNet,00010095BA090500.eds,0001,149,47625,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B032...
DeviceNet,0001007EBB090400.eds,0001,126,47881,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B048...
DeviceNet,0001007EBB090500.eds,0001,126,47881,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B048...
DeviceNet,00010095BB090100.eds,0001,149,47881,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B048...
DeviceNet,00010095BB090200.eds,0001,149,47881,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B048...
DeviceNet,00010095BB090300.eds,0001,149,47881,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-B048...
DeviceNet,00010095BB090400.eds,0001,149,47881,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-B048...
DeviceNet,00010095BB090500.eds,0001,149,47881,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-B048...
DeviceNet,0001007EBC090400.eds,0001,126,48137,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-B062...
DeviceNet,0001007EBC090500.eds,0001,126,48137,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-B062...
DeviceNet,00010095BC090100.eds,0001,149,48137,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-B062...
DeviceNet,00010095BC090200.eds,0001,149,48137,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-B062...
